BookieMatchNo,BlueCorner,BlueCornerOdds,RedCorner,RedCornerOdds,TotalsLine,OverOdds,UnderOdds,UploadTimeStamp
1.41E+09,Jordan Wright,3.10E+00,Julian Marquez,1.39526,1.5,2.19,1.71429,14/10/2021 11:09
1.41E+09,Jai Herbert,1.59E+00,Khama Worthy,2.46,NULL,1.0219,1.01714,14/10/2021 11:09
1.41E+09,Ricardo Ramos,2.50E+00,Zubaira Tukhugov,1.57143,NULL,1.01022,1.01017,14/10/2021 11:09
1.41E+09,Ricky Glenn,3.37E+00,Grant Dawson,1.34483,NULL,1.0101,1.0101,14/10/2021 11:09
1.42E+09,Allan Nascimento,3.55E+00,Tagir Ulanbekov,1.31546,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Maria Oliveira,2.75E+00,Tabatha Ricci,1.48309,NULL,1.0101,1.0101,14/10/2021 11:09
1.42E+09,Magomed Mustafaev,3.15E+00,Damir Ismagulov,1.38462,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Makwan Amirkhani,3.90E+00,Lerone Murphy,1.271,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Michal Oleksiejczuk,2.46E+00,Shamil Gamzatov,1.58824,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Joselyne Edwards,2.38E+00,Jessica-Rose Clark,1.625,NULL,1.0101,1.0101,14/10/2021 11:09
1.39E+09,Volkan Oezdemir,3.50E+00,Magomed Ankalaev,1.32362,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Gregory Rodrigues,2.05E+00,Jun Yong Park,1.83333,NULL,1.0101,1.0101,14/10/2021 11:09
1.39E+09,Glover Teixeira,3.20E+00,Jan Blachowicz,1.37453,2.5,1.92593,1.92593,14/10/2021 11:09
1.37E+09,Colby Covington,3.42E+00,Kamaru Usman,1.3367,NULL,1.01926,1.01926,14/10/2021 11:09
1.41E+09,Ike Villanueva,2.85E+00,Nicolae Negumereanu,1.45455,NULL,1.01019,1.01019,14/10/2021 11:09
1.39E+09,Weili Zhang,2.03E+00,Rose Namajunas,1.84746,4.5,1.88496,1.97087,14/10/2021 11:09
1.41E+09,Erick Gonzalez,2.85E+00,Jim Miller,1.45455,2.5,1.68027,2.25,14/10/2021 11:09
1.41E+09,Alan Patrick,5.30E+00,Mason Jones,1.16694,NULL,1.0168,1.0225,14/10/2021 11:09
1.42E+09,Yaozong Hu,2.00E+00,Alen Amedovski,1.86957,NULL,1.01017,1.01022,14/10/2021 11:09
1.39E+09,Li Jingliang,4.05E+00,Khamzat Chimaev,1.25575,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Nate Landwehr,4.00E+00,Ludovit Klein,1.26042,2.5,2.35,1.625,14/10/2021 11:09
1.41E+09,Carlos Felipe,1.87E+00,Andrei Arlovski,2,2.5,1.47619,2.74,14/10/2021 11:09
1.41E+09,Norma Dumont,2.12E+00,Aspen Ladd,1.77519,4.5,1.83333,2.03,14/10/2021 11:09
1.41E+09,Paulo Costa,2.03E+00,Marvin Vettori,1.84746,NULL,1.01833,1.0203,14/10/2021 11:09
1.41E+09,Brandon Davis,2.50E+00,Danaa Batgerel,1.57143,2.5,1.55866,2.5,14/10/2021 11:09
1.41E+09,Istela Nunes,2.35E+00,Ariane Carnelossi,1.64103,2.5,1.54054,2.55,14/10/2021 11:09
1.42E+09,Charles Oliveira,2.30E+00,Dustin Poirier,1.66667,NULL,1.01541,1.0255,14/10/2021 11:09
1.39E+09,Marcin Tybura,3.40E+00,Alexander Volkov,1.33898,NULL,1.01015,1.01025,14/10/2021 11:09
1.41E+09,Mayra Bueno Silva,3.04,Manon Fiorot,1.40816,2.5,1.74074,2.15,14/10/2021 11:09
1.41E+09,Andrew Sanchez,2.34,Bruno Silva,1.64516,2.5,2.27,1.66667,14/10/2021 11:09
1.41E+09,Aaron Phillips,3.4,Jonathan Martinez,1.33898,NULL,1.0227,1.01667,14/10/2021 11:09
1.41E+09,Roman Kopylov,3.1,Albert Duraev,1.39526,NULL,1.01023,1.01017,14/10/2021 11:09
1.41E+09,Edmen Shahbazyan,2.3,Nassourdine Imavov,1.66667,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Daniel Lacerda,2.3,Jeff Molina,1.66667,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Cory Sandhagen,3,Petr Yan,1.41667,4.5,1.76923,2.11,14/10/2021 11:09
1.41E+09,Danny Roberts,3.6,Ramazan Emeev,1.30864,2.5,1.54054,2.55,14/10/2021 11:09
1.39E+09,Frankie Edgar,2.4,Marlon Vera,1.61728,NULL,1.01541,1.0255,14/10/2021 11:09
1.41E+09,Francisco Trinaldo,1.91743,Dwight Grant,1.95238,NULL,1.01015,1.01025,14/10/2021 11:09
1.41E+09,Randa Markos,2.2,Livinha Souza,1.72464,NULL,1.0101,1.0101,14/10/2021 11:09
1.41E+09,Alex Caceres,3.25,Seungwoo Choi,1.36496,NULL,1.0101,1.0101,14/10/2021 11:09
1.42E+09,Amanda Ribas,1.74074,Virna Jandiroba,2.17,NULL,1.0101,1.0101,14/10/2021 11:09
1.37E+09,Michael Chandler,2.55,Justin Gaethje,1.55249,NULL,1.0101,1.0101,14/10/2021 11:09
